SH001,2025-09-15,PROD00001,erandi@wso2.com,IN_TRANSIT,CUST001
SH002,2025-09-15,PROD00002,shashikab@wso2.com,IN_TRANSIT,CUST002
SH003,2025-09-15,PROD00003,cust003@example.com,IN_TRANSIT,CUST003
SH004,2025-09-15,PROD00004,cust004@example.com,IN_TRANSIT,CUST004
SH005,2025-09-15,PROD00005,cust005@example.com,IN_TRANSIT,CUST005
SH006,2025-09-15,PROD00006,cust006@example.com,IN_TRANSIT,CUST006
SH007,2025-09-15,PROD00007,cust007@example.com,IN_TRANSIT,CUST007
SH008,2025-09-15,PROD00008,cust008@example.com,IN_TRANSIT,CUST008
SH009,2025-09-15,PROD00009,cust009@example.com,IN_TRANSIT,CUST009
SH010,2025-09-15,PROD00010,cust010@example.com,IN_TRANSIT,CUST010
SH011,2025-09-15,PROD00011,cust011@example.com,IN_TRANSIT,CUST011
SH012,2025-09-15,PROD00012,cust012@example.com,IN_TRANSIT,CUST012
SH013,2025-09-15,PROD00013,cust013@example.com,IN_TRANSIT,CUST013
SH014,2025-09-15,PROD00014,cust014@example.com,IN_TRANSIT,CUST014
SH015,2025-09-15,PROD00015,cust015@example.com,IN_TRANSIT,CUST015
SH016,2025-09-15,PROD00016,cust016@example.com,IN_TRANSIT,CUST016
SH017,2025-09-15,PROD00017,cust017@example.com,IN_TRANSIT,CUST017
SH018,2025-09-15,PROD00018,cust018@example.com,IN_TRANSIT,CUST018
SH019,2025-09-15,PROD00019,cust019@example.com,IN_TRANSIT,CUST019
SH020,2025-09-15,PROD00020,cust020@example.com,IN_TRANSIT,CUST020
SH021,2025-09-15,PROD00021,cust021@example.com,IN_TRANSIT,CUST021
SH022,2025-09-15,PROD00022,cust022@example.com,IN_TRANSIT,CUST022
SH023,2025-09-15,PROD00023,cust023@example.com,IN_TRANSIT,CUST023
SH024,2025-09-15,PROD00024,cust024@example.com,IN_TRANSIT,CUST024
SH025,2025-09-15,PROD00025,cust025@example.com,IN_TRANSIT,CUST025
SH026,2025-09-15,PROD00026,cust026@example.com,IN_TRANSIT,CUST026
SH027,2025-09-15,PROD00027,cust027@example.com,IN_TRANSIT,CUST027
SH028,2025-09-15,PROD00028,cust028@example.com,IN_TRANSIT,CUST028
SH029,2025-09-15,PROD00029,cust029@example.com,IN_TRANSIT,CUST029
SH030,2025-09-15,PROD00030,cust030@example.com,IN_TRANSIT,CUST030
SH031,2025-09-15,PROD00031,cust031@example.com,IN_TRANSIT,CUST031
SH032,2025-09-15,PROD00032,cust032@example.com,IN_TRANSIT,CUST032
SH033,2025-09-15,PROD00033,cust033@example.com,IN_TRANSIT,CUST033
SH034,2025-09-15,PROD00034,cust034@example.com,IN_TRANSIT,CUST034
SH035,2025-09-15,PROD00035,cust035@example.com,IN_TRANSIT,CUST035
SH036,2025-09-15,PROD00036,cust036@example.com,IN_TRANSIT,CUST036
SH037,2025-09-15,PROD00037,cust037@example.com,IN_TRANSIT,CUST037
SH038,2025-09-15,PROD00038,cust038@example.com,IN_TRANSIT,CUST038
SH039,2025-09-15,PROD00039,cust039@example.com,IN_TRANSIT,CUST039
SH040,2025-09-15,PROD00040,cust040@example.com,IN_TRANSIT,CUST040
SH041,2025-09-15,PROD00041,cust041@example.com,IN_TRANSIT,CUST041
SH042,2025-09-15,PROD00042,cust042@example.com,IN_TRANSIT,CUST042
